1,0,0,0,4
2,0,0,0,3
3,1,0,1,3
4,1,1,0,3
5,0,0,1,3
6,1,0,0,4
7,1,1,1,4
8,1,1,1,3
9,0,0,0,3
10,1,0,0,4
11,0,0,0,3
12,0,1,1,4
13,0,0,1,3
14,0,0,0,3
15,0,1,1,3
16,0,0,0,3
17,0,0,0,3
18,0,0,0,4
19,0,0,0,4
20,0,0,1,3
21,0,0,0,3
22,1,0,0,4
23,0,0,0,4
24,0,0,0,3
25,0,0,1,4
26,0,1,0,4
27,0,0,0,4
28,0,0,1,3
29,0,0,1,3
30,0,0,0,3
31,0,0,0,3
32,1,1,1,4
33,0,1,1,3
34,0,0,0,3
35,0,0,0,4
36,1,0,1,4
37,1,0,1,3
38,0,0,0,4
39,1,1,1,3
40,1,1,1,4
41,0,1,1,3
42,0,0,0,4
43,0,0,1,4
44,0,0,1,3
45,0,0,1,3
46,0,0,0,4
47,0,0,0,3
48,1,0,0,3
49,0,0,0,3
50,1,0,0,4
51,0,0,0,3
52,0,0,0,3
53,1,1,0,3
54,0,0,0,3
55,0,0,0,4
56,0,0,1,3
57,0,0,0,3
58,0,0,0,4
59,0,0,0,4
60,0,0,0,4
61,0,0,0,4
62,0,0,0,3
63,0,0,0,4
64,0,0,0,4
65,0,0,0,3
66,0,1,1,4
67,0,0,0,4
68,1,1,1,4
69,0,0,0,3
70,0,0,0,4
71,0,0,0,4
72,0,0,0,3
73,0,0,0,3
74,0,1,1,4
75,0,0,0,4
76,0,1,1,4
77,0,0,0,4
78,0,0,0,3
79,0,0,0,4
80,0,0,0,4
81,0,0,0,4
82,0,0,0,3
83,0,0,0,3
84,0,0,0,4
85,0,1,1,3
86,0,0,0,3
87,0,0,1,3
88,0,0,0,3
89,0,1,1,3
90,0,0,0,4
